#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
21:28:44.812 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.cloud.context.scope.GenericScope          :  BeanFactory id=b49d6cf8-5422-3e91-b541-e6b1c72517d8
21:28:45.111 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.boot.web.embedded.tomcat.TomcatWebServer  :  Tomcat initialized with port(s): 9093 (http)
21:28:45.177 -  INFO | ms-Credit= [ID:         ] [                 main] | org.apache.coyote.http11.Http11NioProtocol    :  Initializing ProtocolHandler ["http-nio-9093"]
21:28:45.177 -  INFO | ms-Credit= [ID:         ] [                 main] | org.apache.catalina.core.StandardService      :  Starting service [Tomcat]
21:28:45.177 -  INFO | ms-Credit= [ID:         ] [                 main] | org.apache.catalina.core.StandardEngine       :  Starting Servlet engine: [Apache Tomcat/9.0.46]
21:28:45.282 -  INFO | ms-Credit= [ID:         ] [                 main] | o.a.c.c.C.[Tomcat].[localhost].[/credit]      :  Initializing Spring embedded WebApplicationContext
21:28:45.282 -  INFO | ms-Credit= [ID:         ] [                 main] | .s.b.w.s.c.ServletWebServerApplicationContext :  Root WebApplicationContext: initialization completed in 1384 ms
21:28:46.036 -  INFO | ms-Credit= [ID:         ] [                 main] | org.mongodb.driver.cluster                    :  Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
21:28:47.293 -  INFO | ms-Credit= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.connection                 :  Opened connection [connectionId{localValue:2, serverValue:235}] to localhost:27017
21:28:47.293 -  INFO | ms-Credit= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.connection                 :  Opened connection [connectionId{localValue:1, serverValue:236}] to localhost:27017
21:28:47.293 -  INFO | ms-Credit= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.cluster                    :  Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=56314100}
21:28:47.490 -  INFO | ms-Credit= [ID:         ] [nnection(3)-127.0.0.1] | o.a.c.c.C.[Tomcat].[localhost].[/credit]      :  Initializing Spring DispatcherServlet 'dispatcherServlet'
21:28:47.491 -  INFO | ms-Credit= [ID:         ] [nnection(3)-127.0.0.1] | o.s.web.servlet.DispatcherServlet             :  Initializing Servlet 'dispatcherServlet'
